 Multiple Run Output File
  Run #               Type         Location       Resistance
    1             1                1             100.0000000
    2             2                1             100.0000000
    3             3                1             100.0000000
    4             4                1             100.0000000
    5             5                1             100.0000000
    6             6                1             100.0000000
    7             7                1             100.0000000
    8             8                1             100.0000000
    9             9                1             100.0000000
   10            10                1             100.0000000
   11            11                1             100.0000000
   12             1                2             100.0000000
   13             2                2             100.0000000
   14             3                2             100.0000000
   15             4                2             100.0000000
   16             5                2             100.0000000
   17             6                2             100.0000000
   18             7                2             100.0000000
   19             8                2             100.0000000
   20             9                2             100.0000000
   21            10                2             100.0000000
   22            11                2             100.0000000
   23             1                3             100.0000000
   24             2                3             100.0000000
   25             3                3             100.0000000
   26             4                3             100.0000000
   27             5                3             100.0000000
   28             6                3             100.0000000
   29             7                3             100.0000000
   30             8                3             100.0000000
   31             9                3             100.0000000
   32            10                3             100.0000000
   33            11                3             100.0000000
   34             1                4             100.0000000
   35             2                4             100.0000000
   36             3                4             100.0000000
   37             4                4             100.0000000
   38             5                4             100.0000000
   39             6                4             100.0000000
   40             7                4             100.0000000
   41             8                4             100.0000000
   42             9                4             100.0000000
   43            10                4             100.0000000
   44            11                4             100.0000000
   45             1                5             100.0000000
   46             2                5             100.0000000
   47             3                5             100.0000000
   48             4                5             100.0000000
   49             5                5             100.0000000
   50             6                5             100.0000000
   51             7                5             100.0000000
   52             8                5             100.0000000
   53             9                5             100.0000000
   54            10                5             100.0000000
   55            11                5             100.0000000
   56             1                6             100.0000000
   57             2                6             100.0000000
   58             3                6             100.0000000
   59             4                6             100.0000000
   60             5                6             100.0000000
   61             6                6             100.0000000
   62             7                6             100.0000000
   63             8                6             100.0000000
   64             9                6             100.0000000
   65            10                6             100.0000000
   66            11                6             100.0000000
   67             1                7             100.0000000
   68             2                7             100.0000000
   69             3                7             100.0000000
   70             4                7             100.0000000
   71             5                7             100.0000000
   72             6                7             100.0000000
   73             7                7             100.0000000
   74             8                7             100.0000000
   75             9                7             100.0000000
   76            10                7             100.0000000
   77            11                7             100.0000000
   78             1                8             100.0000000
   79             2                8             100.0000000
   80             3                8             100.0000000
   81             4                8             100.0000000
   82             5                8             100.0000000
   83             6                8             100.0000000
   84             7                8             100.0000000
   85             8                8             100.0000000
   86             9                8             100.0000000
   87            10                8             100.0000000
   88            11                8             100.0000000
   89             1                9             100.0000000
   90             2                9             100.0000000
   91             3                9             100.0000000
   92             4                9             100.0000000
   93             5                9             100.0000000
   94             6                9             100.0000000
   95             7                9             100.0000000
   96             8                9             100.0000000
   97             9                9             100.0000000
   98            10                9             100.0000000
   99            11                9             100.0000000
  100             1               10             100.0000000
  101             2               10             100.0000000
  102             3               10             100.0000000
  103             4               10             100.0000000
  104             5               10             100.0000000
  105             6               10             100.0000000
  106             7               10             100.0000000
  107             8               10             100.0000000
  108             9               10             100.0000000
  109            10               10             100.0000000
  110            11               10             100.0000000
  111             1               11             100.0000000
  112             2               11             100.0000000
  113             3               11             100.0000000
  114             4               11             100.0000000
  115             5               11             100.0000000
  116             6               11             100.0000000
  117             7               11             100.0000000
  118             8               11             100.0000000
  119             9               11             100.0000000
  120            10               11             100.0000000
  
  121            11               11             100.0000000
  
  122             1               12             100.0000000
  13             2               12             100.0000000
   14             3               12             100.0000000
   15             4               12             100.0000000
   16             5               12             100.0000000
   17             6               12             100.0000000
   18             7               12             100.0000000
   19             8               12             100.0000000
   20             9               12             100.0000000
   21            10               12             100.0000000
   22            11               12             100.0000000
